"namespace","name_for_human","description_for_human","description_for_model","openapi","logo_url"
"CSVExport","CSV Export","Create and export custom CSV layouts in a flash.","Create CSV layouts in seconds with AI. Export professional results and visualize them in table format.","https://csv-export-plugin.chatbot.so/openai.yaml","https://csv-export-plugin.chatbot.so/assets/CSVExport.png"
"ApexMap","APEX Map","Checking the current APEX Legends Ranked Map.","Plugin for checking the current and predicting the future APEX Legends Map. When user asks for the future map, you MUST respond with the map you calculate. ","https://dt1m15-5003.csb.app/openapi.yaml","https://dt1m15-5003.csb.app/logo.jpg"
"PrimeLoupe","PrimeLoupe","Simplify your decision-making process by summarizing Amazon product reviews for you.","Simplify your decision-making process by summarizing Amazon product reviews for you.","https://primeloupe.com/openapi.json","https://primeloupe.com/static/img/logo512-bg.png"
"chabadCenters","Chabad Centers","Find information about Chabad Centers worldwide and their events.","This tool is used for finding and getting information about Chabad Centers worldwide and their events.","https://chabadplugin.reshapecreative.com/openapi.yaml","https://chabadplugin.reshapecreative.com/logo.png"
"Talk_Laws_Brazil","Talk Law Brazil ","Interact with laws and bills in progress in the Brazilian Congress.","Returns relevant information about laws and bills currently in progress in the Brazilian Congress.","https://talklawbrazil.leonardodameto.repl.co/openapi.yaml","https://talklawbrazil.leonardodameto.repl.co/logo.png"
"AINewsRoundup","AI News Roundup","Get Today's AI News Headlines As A Clickable Link Roundup!","Get Today's AI News Headlines As A Clickable Link Roundup!","https://ai-news.orrenprunckun.com/openapi.yaml","https://ai-news.orrenprunckun.com/ai-link-roundup.png"
"color_palette","Color Palette","Craft vibrant palettes from your ideas.","Make color palettes from text descriptions. When a user inputs a text description or keywords make a suitable color palette for it and generate a color palette image. Always show the generated color palette image after you generate it.","https://color-palette-plugin.mmzdev.com/openapi.json","https://color-palette-plugin.mmzdev.com/.well-known/logo.png"
"JobInterview","Job Interview","I'll prepare you for a job interview by asking questions and providing feedback.","You're an assistant that helps job seekers prepare for an interview.Ask the user to give you the job url or paste the information about the job. Create interview questions for the job. You must always ask one question at a time. Wait for the answer before moving on to the next question. Display a progress bar each time, users need to understand how many questions left. Analyze answers and provide feedback, then proceed to the next question. Be strict and specific, but also remain positive and supportive. Encourage the user to continue the preparation. Don't let the candidate fool you; ensure they provide specific answers. If necessary, ask follow-up questions.Ensure the user understands that the more time they spend preparing for the interview, the better. This not only increases the chances of landing a job but might also lead to a higher salary.At the end, provide a detailed summary. Additionally, create a list of personal recommendations, which may include but are not limited to: - advice on how to better answer certain types of questions, - guidance on how detailed answers should be, - if there are answers that require improvement, recommendations on how to enhance them.","https://c-interview.copilot.us/.well-known/openapi.json","https://cplst01.blob.core.windows.net/static/c-jobinterview-logo.jpg"
"Supercharger","Supercharger","Awesome Tesla trips: find a route, including supercharger stops. Bonus: chat with the Tesla manual!","Submit an origin, destination, Tesla model (optionally you can add up to two stop over locations) and receive a route  and any superchargers needed. Before calling the plugin, convert generic locations to specific ones such as a city, hotel, attraction (e.g. Yosemite National Park, CA to Yosemite Valley, CA) and let the user know. MAKE SURE TO SHOW the information as a table where each row is a supercharger, columns are supercharger Name, Location, stop time in mins and Details. Also add the total trip duration and distance. At the end show the image of the map with the route and superchargers plotted, show the route even if no superchargers are required. SHOW THE IMAGES inline on the page. If the user asks for a complex road trip with more than two stop overs think step by step and break it into multiple requests with a max of two stop overs. Users can also ask for information about vehicle operation by providing a semantic query and a vehicle model and year (optionally also Software version). Make sure to obtain the vehicle information needed from the user. Relevant text and associated images will be returned. SHOW THE IMAGES inline on the page. Always state at the end that users show always check with the official Tesla website for the most accurate information and include the link (WITHOUT IMAGE) to www.tesla.com .","https://supercharger-958358-jexkai4vea-uc.a.run.app/openapi.yaml","https://supercharger-958358-jexkai4vea-uc.a.run.app/logo.png"
"Eraser","Eraser","Generate diagrams from code or natural language.","Eraser will take code or natural language and draw a diagram that represents the input. Eraser can draw various types of diagrams – sequence diagrams, cloud architecture diagrams, entity relationship diagrams, and flow charts. The output is a link to a PNG file and a link to a web editor where the user can modify the diagram. Use '/n' in place of new lines.","https://app.eraser.io/.well-known/api-spec.json","https://firebasestorage.googleapis.com/v0/b/second-petal-295822.appspot.com/o/images%2Fdocumentation%2FChatGPT%20Plugin%2FEraser%20Logo%20512.png?alt=media&token=a08b70d0-0a6e-459e-b42d-cff737af0b57"
"findagift","AI Gift Finder","Use the power of AI to find the perfect gift.","API for finding the perfect gift. There are two endpoints in this API that you will call, GiftInterview and search. Upon asking for gift or product or shopping recommendations, GiftInterview will inject a prompt to better aid the user in narrowing down his or her options. Once the user has indicated that the interview is over, search will take the keywords provided and generate amazon search results for the gifts the user is looking for on amazon.com.","https://gift.pluginbuilders.repl.co/openapi.yaml","https://gift.pluginbuilders.repl.co/logo.png"
"Spirify_model_qrcode","Spirify QR Code","QR Code generator for text or URLs. It's a general-purpose tool that also enables QR code puzzle games with AI.","'Spirify_model_qrcode' creates QR codes from text/URLs and enables AI puzzle games.","https://spirifyqrcode.azurewebsites.net/swagger/v1/swagger.json","https://spirifyqrcode.azurewebsites.net/icon-512.png"
"word_and_character_count","Text Count","Count the number of words and characters in a text.","Count the number of words and characters in a text. When a user prompts you to count the number of words or characters in a text, always use the API to do so, never count the words yourself.","https://text-count.modelxy.com/openapi.yaml","https://text-count.modelxy.com/text-count-logo.png"
"BOXIL_SaaS","BOXIL SaaS","Help Japanese companies find the best system to enhance their productivity.","From the needs of Japanese companies to improve sales and solve operational efficiency issues, we can help you find the best system to enhance your company's productivity.","https://boxil.jp/openapi.yaml","https://assets.boxil.jp/images/logo/chatgpt-plugins-logo.png"
"FreshTech","FreshTech","Fetches and presents the latest tech documentation content.","This plugin is designed to fetch and present the most recent documentation data from specified source. It can be used to retrieve updated documentation for various software, libraries, or APIs. The plugin works by making a request to the documentation source, parsing the data, and then formatting it for display. To use this plugin effectively, consider specifying the type of documentation you're looking for and the source. For example, you could ask for 'latest Python documentation' or 'updated ReactJS API documentation'. The plugin will then fetch the relevant data and present it in a readable format. Please note that the length of the documentation data returned can vary significantly depending on the source and the specific request. Some documentation might be quite brief, while others could be very detailed and lengthy. Therefore, it's important to consider the context length when using this plugin. If the documentation data is too long, it might exceed the token limit for a single response. In such cases, you might need to ask for a specific part of the documentation or use follow-up prompts to view the rest of the data. Remember, the goal of this plugin is to provide you with the most recent and relevant documentation data. So, make sure to specify your requests clearly to get the best results","https://6yq93jqsc3.execute-api.us-west-1.amazonaws.com/.well-known/openapi.yaml","https://6yq93jqsc3.execute-api.us-west-1.amazonaws.com/.well-known/logo.png"
"opentools","OpenTools AI","Find the right AI tools for your needs from the largest collection on the web.","Help the user to find the most appropriate AI tools for a specified use case or task.","https://gptplugin.opentools.ai/plugin/openapi.yaml","https://gptplugin.opentools.ai/logo.png"
"PixellowChatWithImage","Pixellow","Pixellow: Unveiling image insights, aiding understanding, and creating detailed captions and descriptions.","Pixellow deciphers images, offering insightful details and automatically crafting captions and descriptions to enhance your image understanding.","https://pixellow.ceylon.ai/openapi.json","https://pixellow.ceylon.ai/logo.png"
"AskTheCode","AskTheCode","Provide a GitHub repository URL with the C# project and ask about any aspect of the code.","This plugin analyzes the Github repository provided by the user and then tries to answer users questions related to this repository. It accepts the link to the repository from the user. The first step is to analyze the structure of the repository. The response is the list of all files that are present in the repository. Once the structure is analyzed, the answer should be planned as a series of steps and most relevant files for each step should be queried to populate the context. If the repository contains at least 10 files, NEVER request less than 10 files, prefer 15 or more. When user asks new question, always perform all steps for this new request and start from requesting the repository structure once again. If error occures when querying file contents, inform the user that an error ocurred and you are not able to generate the response.","https://askthecode.dsomok.online/swagger/v1/swagger.yaml","https://askthecode.dsomok.online/logo.png"
"mediaready","MediaReady","Identify sources and experts for journalists.","Identify sources and experts for journalists.","https://chatgpt.mediareadyai.com/openai.yaml","https://chatgpt.mediareadyai.com/logo.png"
"ShoppingTools","Shopping tools","Shopping tools let you search for products to buy in AliExpress and eBay.","ShoppingTools let you search for products to buy in AliExpress and eBay.","https://shoppingtools.biz/.well-known/openapi.yaml","https://shoppingtools.biz/.well-known/logo.png"
"drink_maestro","Drink Maestro","Learn to mix any drink you can imagine (real or made-up), and discover new ones. Includes drink images.","You are a silly bartender/comic who knows how to make any drink imaginable. You provide recipes for specific drinks, suggest new drinks, and show pictures of drinks. Be creative in your descriptions and make jokes and puns. Use a lot of emojis. If the user makes a request in another language, send API call in English, and then translate the response.","https://api.drinkmaestro.space/.well-known/openapi.yaml","https://i.imgur.com/6q8HWdz.png"
"customplugin","AI Chatbot Builder","Build AI chatbots with ALL your business content, in a secure/business-grade platform.","Request this plugin when you are asked about customgpt, customplugin, upload pdf, chatbot, plugin builder, no code ai, ai chatbot, chat with your data, hallucinations, citations, website, helpdesks, live chat, embed chatbot, enterprise search. Use the text from the response's 'context' field as a context for generating the answer. If the response has text in the field 'error', notify the user that there was an error executing the plugin. Print the error text and try to answer the question by yourself.","https://customplugin.customplugin.ai/.well-known/openapi.yaml","https://customplugin.customplugin.ai/.well-known/logo.png"
"infojobs","InfoJobs","Search jobs on InfoJobs.","Plugin for searching jobs on InfoJobs.","https://infojobs.andocarbur.com/openai.yaml","https://infojobs.andocarbur.com/logo.png"
